amount,transaction_hour,distance_from_usual_location,device_risk_score,location_risk_score,previous_failed_transactions,previous_fraud_history,recent_transaction_count,account_age_days,merchant_category,payment_method,is_fraud
4062.49,16,15.1,0.127,0.899,1,0,4,16,electronics,upi,0
220.91,7,84.32,0.413,0.432,0,0,5,763,electronics,netbanking,0
313.67,1,42.75,0.126,0.418,0,0,5,1058,travel,card,0
221.12,0,43.8,0.98,0.387,0,0,2,523,travel,card,0
495.65,11,42.52,0.424,0.964,2,0,1,507,travel,upi,0
1702.13,20,94.42,0.534,0.117,5,0,3,1205,travel,upi,0
1852.31,8,269.05,0.227,0.872,0,0,2,1127,travel,upi,0
1445.59,1,58.43,0.449,0.327,1,0,6,1579,electronics,upi,0
267.0,5,272.07,0.985,0.957,0,0,1,1763,travel,netbanking,1
108.84,11,15.29,0.489,0.315,0,0,1,504,electronics,netbanking,1
1157.89,4,72.6,0.009,0.083,0,0,4,594,gaming,upi,0
684.18,23,6.87,0.243,0.52,2,0,2,1053,fashion,netbanking,0
1736.08,18,70.57,0.978,0.228,1,0,5,375,electronics,upi,1
2212.67,8,110.29,0.989,0.753,1,0,2,1459,fashion,card,0
1259.21,22,16.44,0.21,0.657,0,0,1,13,gaming,upi,0
2345.22,7,22.95,0.615,0.686,1,0,2,741,fashion,netbanking,1
1379.13,3,99.4,0.077,0.193,0,0,6,1962,fashion,upi,0
1863.23,22,28.81,0.577,0.709,0,0,3,1470,electronics,upi,0
542.03,23,1.74,0.126,0.311,0,0,2,1038,grocery,netbanking,0
916.34,7,98.66,0.819,0.999,1,0,2,17,travel,netbanking,0
1335.12,14,94.04,0.94,0.732,0,0,2,1606,electronics,card,0
2491.22,4,22.41,0.173,0.59,2,0,3,897,grocery,card,0
739.71,15,213.44,0.463,0.867,1,0,5,1717,gaming,upi,0
1846.72,16,25.59,0.102,0.589,0,1,1,1569,electronics,card,0
840.64,17,9.72,0.339,0.553,1,0,2,1990,gaming,netbanking,0
975.02,13,39.83,0.065,0.237,0,0,3,244,fashion,netbanking,0
2513.72,16,2.96,0.265,0.678,4,0,5,1720,grocery,upi,0
149.45,13,47.28,0.99,0.375,1,0,6,1426,grocery,upi,0
299.92,19,75.64,0.045,0.043,1,0,5,595,travel,upi,0
249.09,4,256.31,0.859,0.816,0,0,7,1690,fashion,card,1
106.31,11,201.64,0.077,0.052,0,0,4,1133,electronics,netbanking,0
556.54,9,67.38,0.529,0.672,1,0,4,1323,grocery,upi,0
2320.26,12,4.66,0.452,0.157,2,0,6,1925,fashion,upi,0
824.78,3,60.52,0.932,0.433,0,0,1,1150,electronics,upi,1
1336.47,7,94.39,0.199,0.859,0,0,4,1270,grocery,upi,0
3259.14,22,149.49,0.18,0.094,2,0,8,1732,electronics,netbanking,0
4136.83,2,196.12,0.749,0.667,1,0,4,1540,electronics,card,1
1023.38,15,42.83,0.726,0.613,0,0,4,1285,travel,card,0
4245.38,15,6.1,0.699,0.868,0,0,9,1814,electronics,card,0
1202.46,11,144.05,0.026,0.173,0,0,5,1821,travel,upi,0
474.66,0,14.65,0.26,0.8,0,0,2,1231,travel,card,0
605.22,0,83.14,0.84,0.45,1,0,2,205,grocery,netbanking,0
249.5,6,22.91,0.601,0.429,2,0,2,1388,electronics,netbanking,0
451.18,2,21.39,0.602,0.362,0,1,1,671,travel,netbanking,1
766.61,2,191.89,0.296,0.386,1,0,5,1180,fashion,upi,0
2449.37,3,66.02,0.26,0.52,1,0,3,760,grocery,upi,0
6128.9,4,147.97,0.947,0.107,1,0,7,683,gaming,netbanking,1
275.29,20,33.62,0.728,0.425,1,0,5,1949,grocery,netbanking,0
1624.29,15,52.27,0.127,0.652,0,1,2,505,fashion,card,0
387.4,0,62.39,0.938,0.498,1,0,6,329,electronics,card,0
1762.87,15,141.15,0.582,0.166,1,0,7,1270,gaming,card,0
961.9,3,48.92,0.333,0.363,1,0,4,1292,fashion,upi,0
175.76,10,63.02,0.397,0.443,2,0,4,1962,fashion,upi,0
2774.7,0,60.99,0.725,0.669,1,0,2,124,gaming,card,1
598.84,2,71.88,0.376,0.901,0,0,6,1833,grocery,card,0
642.97,3,8.36,0.579,0.55,0,0,5,1680,gaming,upi,0
376.25,10,34.19,0.71,0.676,0,0,4,427,grocery,upi,0
570.05,11,3.31,0.195,0.077,1,0,4,1639,travel,netbanking,0
1682.26,8,2.72,0.944,0.954,1,0,5,1687,fashion,card,0
907.56,14,260.64,0.356,0.315,1,0,3,238,gaming,netbanking,0
1523.34,17,6.78,0.419,0.354,2,0,3,52,fashion,card,0
1574.86,17,81.25,0.699,0.223,0,0,3,1324,fashion,card,0
4107.88,13,34.41,0.609,0.085,0,0,4,1183,gaming,upi,0
778.38,13,19.15,0.44,0.79,1,0,3,1727,grocery,card,0
250.42,11,120.59,0.65,0.24,0,0,1,1861,grocery,upi,0
3188.23,5,14.28,0.903,0.283,0,0,1,216,grocery,card,0
787.22,11,151.63,0.8,0.182,0,0,5,1919,electronics,card,0
3342.89,0,34.87,0.824,0.975,0,0,1,1707,travel,upi,1
1609.01,23,4.5,0.258,0.781,1,0,5,1210,gaming,card,0
961.85,8,28.87,0.419,0.93,1,0,5,728,electronics,upi,0
1554.29,18,77.88,0.554,0.862,0,0,3,1265,gaming,card,0
7715.7,22,32.28,0.044,0.906,2,0,4,1133,fashion,upi,1
8751.5,11,14.41,0.77,0.479,0,0,6,785,travel,card,0
1175.42,20,30.36,0.323,0.171,1,1,5,165,fashion,card,0
1287.16,11,13.32,0.283,0.327,0,0,4,1450,travel,netbanking,0
3217.11,3,151.76,0.259,0.292,1,0,2,618,grocery,card,0
470.76,0,53.15,0.283,0.717,0,0,0,498,gaming,netbanking,0
1530.07,3,65.76,0.338,0.026,2,0,2,756,grocery,card,0
1068.63,22,225.85,0.605,0.142,1,0,3,77,travel,card,0
1501.03,11,18.62,0.584,0.683,2,0,2,789,grocery,netbanking,1
476.58,7,13.9,0.256,0.123,0,1,4,1672,fashion,upi,0
223.73,10,18.75,0.206,0.048,1,0,2,1465,fashion,card,0
137.97,6,204.09,0.826,0.109,1,0,1,130,gaming,card,0
358.75,20,120.15,0.093,0.691,2,0,3,666,gaming,card,1
693.2,23,256.63,0.513,0.139,1,0,2,1332,electronics,card,0
817.96,2,8.34,0.521,0.146,4,0,7,1862,electronics,netbanking,0
7610.1,17,22.2,0.574,0.23,1,0,4,879,electronics,netbanking,0
3314.27,8,13.77,0.886,0.751,1,0,5,1976,grocery,card,0
419.02,1,98.69,0.624,0.2,0,0,4,96,gaming,card,0
1552.63,22,17.4,0.974,0.035,0,0,5,1821,grocery,upi,1
729.91,1,184.82,0.871,0.906,1,0,4,328,travel,netbanking,1
825.21,4,31.89,0.215,0.876,0,0,2,1461,electronics,card,0
1319.92,0,162.38,0.241,0.185,0,0,7,210,grocery,netbanking,0
2036.87,11,32.37,0.345,0.265,2,0,4,1978,gaming,card,0
781.13,14,9.18,0.392,0.189,2,0,5,436,travel,netbanking,0
3177.5,7,88.82,0.553,0.72,0,0,2,742,gaming,netbanking,0
350.05,1,29.21,0.233,0.25,0,0,4,1274,fashion,upi,0
1103.61,2,10.22,0.222,0.931,0,0,2,109,travel,upi,0
14730.47,22,26.55,0.381,0.828,1,0,5,1145,electronics,card,0
1370.7,19,32.33,0.672,0.588,2,0,2,591,travel,netbanking,0
4597.25,22,419.17,0.688,0.009,5,0,2,871,fashion,netbanking,0
1201.73,12,79.49,0.976,0.884,1,0,4,672,grocery,netbanking,0
1960.15,13,11.36,0.202,0.728,1,0,4,1687,electronics,netbanking,0
1036.1,18,25.7,0.393,0.788,0,0,1,918,electronics,card,0
924.81,14,56.96,0.965,0.072,0,0,5,1508,grocery,upi,0
502.96,10,22.45,0.69,0.709,0,0,4,92,grocery,upi,1
1686.32,7,30.94,0.592,0.805,0,0,2,1368,electronics,card,0
468.0,11,15.23,0.54,0.957,0,0,6,772,electronics,netbanking,1
2133.64,1,6.94,0.076,0.58,0,0,5,1201,travel,card,0
3246.35,4,165.93,0.893,0.508,2,0,1,1694,gaming,upi,1
1582.14,17,28.95,0.626,0.425,0,0,7,1395,gaming,card,0
823.65,20,59.57,0.572,0.701,1,0,4,713,electronics,netbanking,0
1726.7,2,23.67,0.54,0.921,0,0,7,460,travel,card,0
805.39,2,192.32,0.392,0.6,1,0,3,1775,grocery,upi,1
2794.89,2,51.28,0.255,0.227,3,0,4,527,gaming,upi,0
175.67,18,8.37,0.755,0.018,1,0,2,80,electronics,card,0
783.99,7,55.07,0.51,0.619,0,0,5,603,grocery,netbanking,0
149.78,7,68.37,0.034,0.865,2,0,3,31,fashion,card,0
245.9,0,6.81,0.399,0.066,0,0,1,1484,electronics,upi,0
4289.23,23,124.41,0.929,0.398,0,0,7,1780,travel,card,0
2684.33,10,52.2,0.374,0.94,0,0,4,870,travel,upi,0
534.07,19,12.58,0.413,0.502,0,0,4,1231,fashion,card,0
244.08,16,201.36,0.624,0.221,1,0,3,1919,gaming,netbanking,0
56.57,3,104.71,0.802,0.354,0,0,3,1850,travel,upi,0
636.83,19,73.87,0.668,0.408,0,0,5,90,fashion,upi,0
12337.7,13,3.21,0.85,0.117,1,0,4,147,gaming,netbanking,0
1694.06,14,242.75,0.114,0.661,0,0,6,772,fashion,upi,0
626.67,4,38.52,0.925,0.592,2,0,6,565,grocery,netbanking,0
1746.0,20,32.31,0.904,0.648,1,0,7,317,electronics,netbanking,0
230.22,22,4.28,0.519,0.611,1,0,2,310,travel,card,0
814.58,9,24.6,0.625,0.017,4,0,4,1634,gaming,card,0
1211.33,2,145.6,0.213,0.174,1,0,3,395,fashion,netbanking,0
1006.16,20,143.43,0.448,0.166,0,0,2,964,gaming,netbanking,0
2418.27,21,7.17,0.203,0.098,1,0,2,99,fashion,card,0
1547.89,12,39.67,0.022,0.735,2,0,4,1243,gaming,card,0
2139.5,13,97.68,0.981,0.12,3,0,2,1485,travel,card,0
550.94,5,52.37,0.259,0.668,1,0,2,1199,electronics,upi,0
2691.4,1,20.01,0.593,0.178,1,0,4,577,travel,upi,0
5591.13,22,75.94,0.3,0.118,0,0,3,167,grocery,upi,0
415.65,11,51.88,0.371,0.163,0,0,3,806,fashion,card,0
451.38,6,56.3,0.398,0.508,0,0,4,1569,fashion,upi,1
4170.47,16,13.74,0.335,0.645,1,0,7,248,grocery,netbanking,0
905.65,0,41.06,0.637,0.812,0,0,7,1645,travel,upi,0
4464.09,1,109.11,0.961,0.129,1,0,5,1827,fashion,upi,1
704.48,5,52.22,0.429,0.616,0,0,1,1218,fashion,card,0
4698.72,10,74.0,0.973,0.774,1,0,4,1689,fashion,upi,1
1250.73,8,34.95,0.668,0.312,3,0,2,569,grocery,netbanking,0
1419.74,4,124.82,0.607,0.08,1,0,10,1246,electronics,card,0
5243.36,8,9.15,0.237,0.156,1,1,7,1450,travel,upi,0
763.74,8,93.79,0.063,0.092,0,0,1,1432,grocery,card,0
427.9,12,15.33,0.852,0.887,0,0,2,1404,grocery,upi,0
700.25,13,22.58,0.574,0.377,2,0,5,396,gaming,netbanking,0
1723.88,21,172.39,0.414,0.523,1,0,8,1825,travel,netbanking,0
229.12,19,40.95,0.812,0.769,1,0,3,1367,travel,upi,0
2074.49,7,45.62,0.311,0.371,2,0,5,243,grocery,upi,0
639.85,21,81.56,0.784,0.649,1,0,5,1282,fashion,netbanking,1
3455.81,12,92.9,0.328,0.077,0,0,6,1820,gaming,netbanking,0
100.06,4,79.94,0.921,0.481,1,0,8,57,gaming,upi,1
499.41,8,63.37,0.268,0.097,2,0,6,1775,grocery,card,0
203.07,17,0.61,0.138,0.248,1,0,6,667,electronics,upi,0
479.99,19,13.22,0.698,0.293,0,0,7,602,travel,card,1
1404.82,8,25.2,0.163,0.718,1,0,4,980,gaming,netbanking,0
916.69,3,144.48,0.949,0.674,0,0,5,1435,grocery,card,1
851.18,4,203.05,0.656,0.747,1,0,3,214,electronics,card,1
935.25,2,51.95,0.231,0.062,0,0,2,534,grocery,netbanking,0
1343.98,16,36.81,0.209,0.994,0,0,3,1616,fashion,card,0
400.0,12,256.99,0.924,0.054,1,0,5,477,travel,netbanking,1
2223.53,10,56.36,0.608,0.826,1,0,2,705,fashion,netbanking,1
2127.42,16,98.67,0.894,0.74,0,1,4,1286,grocery,netbanking,1
1611.69,19,65.78,0.11,0.592,0,0,3,508,grocery,upi,0
1913.2,19,36.32,0.925,0.439,0,0,4,109,travel,upi,0
1475.01,3,45.12,0.52,0.757,1,0,5,1059,travel,netbanking,0
8392.33,14,82.7,0.668,0.74,0,0,1,201,grocery,card,0
1005.16,21,187.99,0.373,0.137,0,0,2,778,electronics,upi,1
806.67,18,45.59,0.059,0.793,0,0,8,1323,fashion,upi,0
516.19,7,41.69,0.958,0.079,1,0,3,1481,grocery,card,0
390.62,9,4.41,0.995,0.501,1,0,4,1904,gaming,upi,0
315.93,21,10.3,0.365,0.645,1,0,2,1744,grocery,upi,0
450.88,0,0.73,0.944,0.822,0,0,5,77,fashion,card,1
1021.8,12,10.8,0.168,0.463,2,0,3,978,fashion,card,0
1531.95,2,119.1,0.155,0.237,2,0,2,55,grocery,upi,1
1154.18,21,104.57,0.073,0.491,1,0,3,1604,fashion,upi,0
510.03,0,119.23,0.391,0.25,1,0,5,158,travel,netbanking,0
2697.78,0,2.35,0.052,0.529,2,0,4,1556,electronics,card,0
2297.12,7,87.19,0.395,0.463,1,1,5,13,grocery,card,0
934.82,4,25.09,0.138,0.781,2,0,6,230,grocery,upi,0
570.83,11,50.71,0.731,0.24,1,1,6,1857,travel,netbanking,1
1897.76,7,172.4,0.833,0.2,2,0,2,380,electronics,upi,0
1323.42,8,65.01,0.688,0.474,1,0,2,953,gaming,upi,0
257.72,13,9.97,0.2,0.051,0,0,5,1045,travel,netbanking,0
1024.56,13,39.21,0.767,0.229,0,0,3,1387,grocery,card,0
1425.15,22,248.43,0.25,0.354,0,0,6,1870,gaming,netbanking,0
445.99,11,182.66,0.759,0.488,0,0,7,838,electronics,card,0
1325.9,13,124.07,0.567,0.269,1,0,1,1210,fashion,card,0
256.0,16,10.76,0.367,0.561,0,0,4,1994,gaming,upi,0
4172.15,4,13.25,0.083,0.878,2,0,3,225,fashion,card,0
3819.79,16,8.07,0.828,0.544,1,0,3,965,travel,netbanking,0
851.91,20,11.27,0.94,0.287,1,0,3,613,grocery,netbanking,0
1577.28,7,0.96,0.666,0.062,0,0,8,1879,electronics,upi,1
98.5,4,147.2,0.965,0.137,0,0,3,1233,travel,netbanking,0
345.04,8,95.34,0.934,0.561,1,0,2,1302,gaming,card,1
817.48,6,124.14,0.195,0.684,1,1,5,382,grocery,upi,0
375.35,14,53.39,0.731,0.05,0,0,4,1895,grocery,card,0
2240.37,20,0.28,0.349,0.186,1,0,3,143,electronics,upi,0
8081.21,14,49.48,0.488,0.319,0,0,4,995,fashion,netbanking,0
338.11,3,5.1,0.157,0.32,1,0,2,1401,gaming,netbanking,0
474.63,7,154.03,0.975,0.958,1,0,2,1758,grocery,upi,0
1387.76,16,2.53,0.726,0.204,0,0,2,554,travel,netbanking,0
5492.38,7,30.16,0.267,0.063,2,0,4,674,gaming,upi,0
322.99,14,144.73,0.371,0.353,1,0,3,85,gaming,upi,0
1406.75,16,122.17,0.422,0.134,0,0,4,1325,fashion,card,0
6777.06,7,137.44,0.748,0.127,1,0,2,401,fashion,netbanking,1
210.24,15,79.92,0.926,0.407,1,0,2,1238,electronics,netbanking,0
304.58,9,17.62,0.321,0.306,2,1,4,178,electronics,netbanking,0
717.95,3,121.8,0.473,0.092,0,0,5,978,gaming,upi,0
651.59,8,157.71,0.593,0.604,0,0,8,962,fashion,upi,1
2471.55,10,159.87,0.393,0.502,2,0,3,1007,grocery,card,0
1396.41,0,129.34,0.504,0.077,0,0,4,624,grocery,upi,0
185.87,21,85.61,0.106,0.863,0,0,4,348,gaming,upi,0
1836.12,12,182.23,0.168,0.285,3,0,5,1553,grocery,netbanking,0
615.52,0,126.84,0.401,0.961,1,0,5,1812,fashion,netbanking,1
3922.35,20,5.61,0.915,0.932,0,0,4,560,electronics,netbanking,0
585.47,20,27.84,0.349,0.434,0,1,3,913,grocery,netbanking,0
580.21,0,33.87,0.25,0.229,1,0,3,226,grocery,card,0
1883.96,3,159.22,0.743,0.835,0,0,1,311,travel,netbanking,1
2351.78,8,65.78,0.949,0.361,0,0,4,711,gaming,card,0
1716.6,12,4.31,0.459,0.164,1,0,5,1411,grocery,upi,0
203.24,17,8.86,0.009,0.552,0,0,4,1349,fashion,netbanking,0
1878.13,10,29.85,0.688,0.489,0,0,6,1457,travel,upi,1
389.82,14,19.76,0.415,0.85,0,0,6,187,fashion,netbanking,0
1387.52,0,14.12,0.674,0.729,0,0,2,99,travel,upi,0
264.08,15,25.24,0.278,0.876,1,0,6,557,grocery,netbanking,1
1713.55,21,86.38,0.002,0.735,0,0,8,672,travel,upi,0
489.51,12,98.07,0.344,0.642,1,0,3,1032,gaming,netbanking,0
304.1,10,207.51,0.705,0.5,1,0,5,1172,gaming,card,0
2239.08,7,64.05,0.393,0.988,1,0,2,384,electronics,upi,0
1396.39,22,31.79,0.219,0.959,1,0,2,1644,gaming,netbanking,0
593.49,0,42.6,0.464,0.849,1,1,2,1495,grocery,upi,0
4680.59,6,3.46,0.752,0.775,0,0,4,628,travel,netbanking,0
705.81,3,31.13,0.119,0.578,0,0,4,1295,fashion,upi,0
1132.41,20,17.4,0.692,0.26,2,1,3,606,fashion,card,1
1434.99,11,10.43,0.667,0.875,1,0,1,130,grocery,upi,1
590.12,22,37.8,0.371,0.011,3,0,2,1475,grocery,card,0
1756.6,15,11.22,0.97,0.227,1,0,2,181,fashion,upi,0
643.26,13,5.57,0.895,0.404,0,0,1,446,gaming,card,0
726.59,12,75.48,0.316,0.586,1,0,3,612,fashion,netbanking,0
4284.0,4,115.17,0.031,0.561,0,0,9,1793,gaming,upi,0
387.38,13,46.28,0.308,0.176,1,0,0,1176,gaming,netbanking,0
98.22,16,0.36,0.205,0.105,0,0,2,1582,gaming,upi,0
5491.39,23,36.41,0.547,0.222,1,0,3,1817,fashion,netbanking,0
14035.26,13,4.01,0.919,0.349,1,0,5,1787,fashion,upi,0
731.23,22,86.51,0.87,0.014,1,0,2,1222,fashion,card,0
158.09,22,158.08,0.306,0.692,1,0,4,713,electronics,upi,0
803.93,12,66.61,0.429,0.248,1,0,3,813,travel,card,0
823.68,10,20.43,0.037,0.351,0,0,4,339,electronics,netbanking,0
906.94,3,205.68,0.544,0.335,0,0,5,1181,travel,netbanking,1
360.18,6,85.04,0.063,0.512,2,0,7,1174,travel,card,0
1957.77,21,6.12,0.939,0.86,0,0,1,1944,grocery,card,0
1852.9,3,16.92,0.867,0.149,0,0,3,388,grocery,netbanking,0
246.06,9,101.38,0.214,0.341,1,0,1,1516,gaming,netbanking,0
2206.57,16,17.47,0.699,0.692,1,0,6,539,travel,netbanking,0
8541.44,5,54.8,0.568,0.044,2,0,4,166,grocery,upi,0
1302.4,23,36.88,0.801,0.83,0,0,3,807,electronics,upi,0
782.64,15,26.91,0.476,0.962,1,0,2,1928,gaming,card,0
951.46,0,9.83,0.192,0.608,1,0,3,930,fashion,card,0
2028.92,5,93.08,0.64,0.957,0,0,9,379,gaming,upi,0
194.29,17,75.97,0.08,0.413,1,0,2,651,fashion,netbanking,1
1292.57,20,161.97,0.585,0.415,1,0,3,1392,fashion,card,1
742.14,22,21.6,0.213,0.106,1,0,3,576,electronics,upi,0
6959.24,20,3.65,0.685,0.035,0,0,3,470,gaming,upi,0
921.34,1,182.62,0.828,0.245,0,0,2,500,fashion,card,0
5813.21,17,73.13,0.11,0.478,0,0,6,173,electronics,upi,1
363.67,2,0.32,0.4,0.508,1,0,0,1383,electronics,card,0
1972.9,1,352.67,0.734,0.218,0,0,3,647,fashion,netbanking,1
1509.3,16,167.03,0.164,0.613,0,0,3,618,electronics,netbanking,1
459.87,11,33.87,0.567,0.181,0,0,4,663,fashion,netbanking,0
1309.49,15,72.28,0.672,0.326,0,0,3,1391,travel,card,0
3686.82,20,25.17,0.355,0.196,0,0,3,1749,electronics,upi,0
793.31,1,21.52,0.832,0.697,1,0,4,1488,grocery,upi,0
201.95,12,42.76,0.511,0.517,1,0,0,1139,fashion,upi,0
1077.54,20,27.17,0.627,0.736,2,0,6,1431,electronics,netbanking,1
444.78,10,30.06,0.141,0.057,0,0,2,461,travel,netbanking,0
778.73,12,5.99,0.023,0.425,0,0,5,1829,electronics,upi,0
1010.71,11,388.48,0.051,0.967,0,0,4,1228,grocery,upi,1
199.21,21,78.63,0.904,0.054,0,0,6,1909,grocery,upi,0
217.97,1,9.04,0.883,0.418,1,1,5,543,gaming,upi,1
1775.91,21,11.27,0.808,0.04,0,0,3,302,electronics,upi,0
650.2,19,105.25,0.2,0.147,0,0,5,1432,travel,netbanking,0
84.37,19,669.7,0.525,0.463,0,0,4,647,travel,upi,1
2403.89,9,53.51,0.796,0.158,0,1,9,423,electronics,upi,0
1439.96,12,17.76,0.675,0.519,0,0,5,1577,gaming,card,0
537.07,8,361.97,0.116,0.923,1,0,4,1070,gaming,card,0
293.88,6,80.82,0.896,0.2,2,0,3,1565,grocery,card,0
2529.58,21,23.41,0.161,0.107,1,0,1,494,grocery,upi,0
1555.19,12,60.72,0.172,0.825,2,0,5,151,electronics,card,0
11879.89,17,56.79,0.901,0.46,0,0,6,825,grocery,upi,0
1669.35,2,99.08,0.485,0.883,1,0,3,1924,grocery,upi,1
1615.99,18,75.71,0.373,0.306,1,0,2,1175,gaming,netbanking,0
928.04,15,218.51,0.554,0.628,0,0,3,1713,grocery,card,0
2481.89,23,130.86,0.981,0.923,2,0,1,1687,grocery,upi,1
2048.96,3,35.49,0.12,0.172,2,0,5,1799,electronics,upi,0
3834.23,12,203.92,0.757,0.801,1,0,1,923,travel,netbanking,0
651.11,12,25.83,0.334,0.632,0,0,5,416,travel,card,0
709.52,12,41.62,0.117,0.813,1,0,2,1800,fashion,upi,0
679.19,1,3.98,0.422,0.171,1,0,5,1006,fashion,upi,0
2418.26,11,106.47,0.549,0.434,0,0,5,646,grocery,card,0
4906.79,7,69.78,0.206,0.129,0,0,2,886,fashion,card,0
693.09,14,108.24,0.405,0.96,2,0,3,1567,grocery,upi,0
717.11,5,266.89,0.636,0.063,0,0,3,726,gaming,upi,0
1501.29,10,39.87,0.576,0.065,0,0,5,1664,electronics,card,0
857.69,14,113.49,0.723,0.898,0,1,7,462,gaming,netbanking,0
2841.4,1,86.36,0.836,0.301,1,0,6,642,gaming,netbanking,1
115.38,18,179.18,0.409,0.597,0,0,8,287,grocery,card,1
479.76,17,233.33,0.423,0.287,0,0,2,1743,electronics,card,0
501.49,1,172.3,0.497,0.649,1,0,2,1742,grocery,netbanking,0
107.73,1,52.77,0.566,0.192,0,0,1,422,gaming,card,0
418.37,20,17.68,0.108,0.459,1,0,9,1065,travel,upi,1
439.15,6,9.43,0.313,0.533,0,0,8,1585,gaming,card,0
896.86,20,25.85,0.172,0.334,0,0,2,1205,travel,card,0
3337.46,11,41.34,0.386,0.252,1,0,4,1294,gaming,netbanking,0
858.29,8,219.49,0.973,0.14,1,1,7,530,travel,card,0
391.19,6,36.57,0.583,0.706,0,1,1,68,grocery,card,0
1035.92,15,2.12,0.429,0.168,1,0,4,1870,travel,card,0
3131.21,2,34.23,0.566,0.292,0,0,8,1827,fashion,card,0
413.25,9,38.03,0.669,0.337,0,0,0,1873,gaming,netbanking,0
441.17,8,22.62,0.435,0.454,1,0,3,95,gaming,upi,0
1917.06,3,63.51,0.448,0.703,1,0,5,1346,travel,card,1
878.72,8,42.39,0.701,0.428,0,0,4,509,gaming,card,0
2095.37,12,5.9,0.061,0.871,0,0,7,647,gaming,netbanking,0
1081.77,16,52.32,0.54,0.68,0,0,5,831,gaming,upi,0
2212.02,2,117.79,0.547,0.838,1,0,2,473,gaming,netbanking,0
389.52,20,86.58,0.757,0.716,1,0,4,1193,electronics,netbanking,0
1083.46,21,6.06,0.983,0.149,1,0,3,1194,travel,upi,1
888.3,16,205.65,0.796,0.978,1,0,4,1857,grocery,upi,0
325.09,22,65.8,0.504,0.787,2,0,4,1667,grocery,netbanking,0
229.64,10,53.07,0.169,0.573,0,0,6,1407,gaming,upi,0
2177.1,19,20.56,0.588,0.165,1,0,2,1934,electronics,card,0
772.05,17,143.26,0.834,0.173,0,0,4,862,travel,netbanking,0
394.54,13,98.09,0.932,0.614,0,0,3,145,electronics,netbanking,0
996.07,4,2.74,0.825,0.416,1,0,8,1759,gaming,upi,1
3388.08,13,8.52,0.189,0.676,2,0,5,675,gaming,card,0
112.09,21,4.17,0.713,0.372,0,0,6,898,fashion,upi,0
245.52,23,62.96,0.88,0.513,1,0,12,788,gaming,upi,1
435.77,10,477.45,0.681,0.188,0,0,5,1823,travel,card,0
4727.63,5,206.0,0.686,0.155,0,0,3,744,grocery,card,0
1454.75,17,70.54,0.5,0.076,1,0,3,1371,fashion,netbanking,0
2362.13,1,302.59,0.637,0.82,0,0,5,1338,grocery,netbanking,1
350.67,3,46.17,0.294,0.555,0,0,1,1116,travel,netbanking,1
357.98,13,26.9,0.089,0.947,0,0,4,1098,gaming,upi,0
1716.11,23,54.9,0.828,0.749,2,0,4,153,grocery,netbanking,1
1162.44,7,22.25,0.943,0.769,1,1,2,1783,travel,upi,1
1898.35,10,28.35,0.857,0.509,3,0,0,673,fashion,card,0
908.99,7,59.95,0.334,0.815,0,0,5,452,fashion,netbanking,0
1448.3,10,79.94,0.094,0.942,1,0,3,446,travel,upi,0
1284.49,0,142.19,0.28,0.722,1,0,6,804,electronics,card,0
2386.94,14,45.48,0.843,0.106,2,0,3,1251,electronics,card,0
2457.77,14,105.26,0.656,0.651,0,0,2,1086,grocery,netbanking,1
217.05,7,3.04,0.967,0.12,2,0,2,1671,fashion,card,0
115.9,6,20.19,0.343,0.077,3,0,1,1635,electronics,upi,0
2986.17,18,15.12,0.551,0.693,0,0,1,677,fashion,upi,0
3596.53,4,73.42,0.79,0.835,2,0,1,1648,grocery,netbanking,1
395.19,1,10.59,0.234,0.159,0,0,6,1366,electronics,netbanking,0
170.74,0,355.58,0.964,0.074,0,0,1,1720,electronics,upi,1
1210.8,21,64.58,0.592,0.887,2,0,8,10,fashion,upi,0
2781.76,8,154.33,0.008,0.132,0,0,7,1043,grocery,netbanking,0
6618.3,2,6.54,0.025,0.035,0,0,4,1254,travel,netbanking,0
1837.75,21,77.99,0.882,0.721,1,0,1,490,travel,netbanking,1
756.18,3,118.31,0.645,0.848,0,0,3,1314,electronics,netbanking,1
448.93,8,72.3,0.763,0.514,0,0,3,1455,fashion,upi,0
1109.26,0,60.63,0.784,0.54,1,0,2,286,gaming,upi,0
813.0,16,103.53,0.42,0.337,0,0,2,1909,grocery,netbanking,0
397.4,16,246.49,0.799,0.238,0,0,5,1892,gaming,card,0
8507.94,18,74.91,0.938,0.755,1,0,3,577,gaming,netbanking,0
6536.57,6,151.99,0.172,0.849,0,0,4,407,gaming,upi,0
3415.4,7,35.78,0.764,0.321,0,0,0,404,grocery,netbanking,0
436.66,22,45.09,0.308,0.274,0,0,2,82,electronics,upi,0
2578.64,19,75.58,0.321,0.268,2,0,4,54,fashion,netbanking,0
2078.97,0,14.47,0.413,0.051,1,0,2,631,electronics,netbanking,0
1707.09,16,14.23,0.864,0.281,1,0,4,1336,electronics,netbanking,0
3826.34,19,554.31,0.022,0.026,0,0,3,1365,travel,netbanking,0
2070.14,13,184.33,0.434,0.788,3,0,3,1094,gaming,card,0
2298.51,15,228.24,0.68,0.256,2,0,6,1303,grocery,upi,0
2073.32,0,158.97,0.11,0.69,0,0,4,278,grocery,netbanking,1
1541.93,0,130.55,0.792,0.543,1,0,5,1989,gaming,upi,1
